job_title,company,job_location,job_summary,today,job_salary,extracted_skills,yearly_salary
machine learning engineer 2,PayPal,"Bengaluru, Karnataka","4+ years of experience as a Data Scientist with expertise in Statistics, Machine learning, Deep learning.,Our platforms also equip our customer support agents…",2022-07-26,Not Disclosed,"['machine learning', 'deep learning', 'statistics']",
data engineer,Freedom From Diabetes,"Pune, Maharashtra","Experience Working with Various reporting tools like Tableau, Google Data Studio, Looker, Qlik, and Power BI.,Experience Working NOSQL or SQL database and other…",2022-07-26,Not Disclosed,"['sql', 'power bi', 'tableau']",
program manager,Oracle,"Bengaluru, Karnataka",Manage the development and implementation process of a specific company product involving departmental or cross-functional teams focused on the delivery of new…,2022-07-26,Not Disclosed,[],
data science - intern,Paytm,"Noida, Uttar Pradesh","This team uses machine-learning algorithms to solve various business problems by developing statistical models/scorecards.,Should be an expert in Excel.",2022-07-26,Not Disclosed,['excel'],
software engineer,Micro Focus,"Bengaluru, Karnataka","Secure and scalable, with analytics built in, they bridge the gap between existing and emerging IT at fast-tracking digital transformations across DevOps,…",2022-07-26,Not Disclosed,[],
r&d engineer,NOKIA,"Bengaluru, Karnataka","At Customer Insights R&D, we work on the latest technology and build innovative products & use cases that provide 360-degree view of customer experience across…",2022-07-26,Not Disclosed,['r'],
software engineer,Micro Focus,"Bengaluru, Karnataka","Secure and scalable, with analytics built in, they bridge the gap between existing and emerging IT at fast-tracking digital transformations across DevOps,…",2022-07-26,Not Disclosed,[],
urgent part time recruitment for data engineer with oracle a...,Intellecto Global Services,"Chennai, Tamil Nadu","Connecting, designing, scheduling, and deploying data warehouse systems.,Developing data pipelines and enable dash boards for stakeholders and.",2022-07-26,"₹25,000 - ₹28,000 a month",[],318000.0
business analyst ( mandatory 3 to 4yrs experience required ),TGS the global skills,"Gurgaon, Haryana",Responsibilities* • Gather and analyze data and provide technology solutions with a systems approach • Interpreting business requirements into understandable…,2022-07-26,"₹9,00,000 a year",[],900000.0
ai and ml engineer,Visteon Corporation,"Pune, Maharashtra","Develop product quality algorithms and solutions for camera based ADAS (Advanced Driver Assistance Systems) solutions like Driver Monitoring, In-car Cabin…",2022-07-26,Not Disclosed,[],
machine learning research fellow,Skit.ai,"Temporarily Bengaluru, Karnataka","Its suite of speech and language solutions enable enterprises to automate their contact centre operations.,Collect, analyze and prepare datasets.",2022-07-26,Not Disclosed,[],
data science,Ticker Job,"Bengaluru, Karnataka","Envisioning, planning, and executing Machine Learning/Deep Learning projects.,Building systems to scale up to millions of predictions a day.",2022-07-26,"₹8,00,000 a year","['machine learning', 'deep learning']",800000.0
data scientist,Multirecruit,"Bengaluru, Karnataka+1 location","Sound understanding of modern Machine learnings (Supervised, Semi-Supervised, and Unsupervised) and the mathematical underpinnings, and experience in using…",2022-07-26,"₹25,00,000 - ₹40,00,000 a year",[],3250000.0
associate - student success,UpGrad,India,"At upGrad - we have partnered with leading universities such as IIIT Bangalore, BITS Pilani, MICA Ahmedabad, IMT Ghaziabad and Cambridge University's Judge…",2022-07-26,Not Disclosed,[],
sr executive/ asst. manager talent acquisition,spocto solutions,"Thane, Maharashtra","As a fintech company that uses Artificial Intelligence (AI) & Machine Learning (ML) to enhance customer reach, engagement, and interaction; spocto is a pioneer…",2022-07-26,"₹7,00,000 - ₹9,00,000 a year",['machine learning'],800000.0
data scientist,MAHIRA RESOURCES PRIVATE LIMITED,"Hyderabad, Telangana","Scope includes data ingestion, processing, storage, analysis, machine learning, visualizations, and generation of predictive and prescriptive solutions.",2022-07-26,Not Disclosed,['machine learning'],
executive assistant,Amex,"Gurgaon, Haryana","The International Fraud Risk Management team, within the overall FRM organization, is focused on the identification and solutioning of fraud trends within the…",2022-07-26,Not Disclosed,[],
senior data scientist,Foundation AI (Cognial AI Solutions Pvt. Ltd.),"Hyderabad, Telangana","Strong understanding of machine learning algorithms & principles (regression analysis, time series, probabilistic models, supervised classification and…",2022-07-26,"₹15,00,000 - ₹30,00,000 a year",['machine learning'],2250000.0
"remote machine learning developer (python, pandas, numpy)",Turing,Remote,"The selected candidate will be responsible for developing innovative machine learning models for various applications.,Experience in PyTorch and SQL is a plus.",2022-07-26,Not Disclosed,"['sql', 'machine learning', 'pytorch']",
data artitect,Valiance Solutions,"Noida, Uttar Pradesh","Machine Learning Engineering lake Warehousing Analytics.,Overall, 6 years plus experience with minimum 2 years’ designing and architecting.",2022-07-26,Not Disclosed,['machine learning'],
data scientist,Infosys Limited,"Bengaluru, Karnataka","Soft Skills • Good verbal & written communication skills – articulate value of AI to business, project managers & other team members • Ability to break complex…",2022-07-26,Not Disclosed,[],
technology lead : data science i machine learning,Infosys Limited,"Bengaluru, Karnataka","A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue…",2022-07-26,Not Disclosed,[],
senior data analyst - data engineering/analytics,Exusia,"Temporarily Bengaluru, Karnataka","Data experience working with complex large datasets / big data performing data analysis, data profiling, data mapping and data modeling is required.",2022-07-26,"₹12,55,575 - ₹28,40,135 a year","['big data', 'data analysis']",2047855.0
data science associate,Data Analytics Solutions,"Indore, Madhya Pradesh","Generate ideas for new product creation around machine learning and data science.,3+ years’ experience working with data using SQL.",2022-07-26,"₹1,20,000 - ₹6,00,000 a year","['sql', 'machine learning']",360000.0
data science trainee with ppo,Yeag Technology,Remote,Must have interest on Programming side and look forward to make career in Data Science with our clientele Network.,2022-07-26,"₹5,50,000 - ₹6,00,000 a year",[],575000.0
data science/data analytics,Intrics Solutions Pvt Ltd,"Noida, Uttar Pradesh","Ability to work on large scale data (structured and unstructured) having applied fundamentals in data management, parallel computing, and distributed systems.",2022-07-26,"₹4,00,000 - ₹8,00,000 a year",[],600000.0
data science internship opportunity for university graduates,Microsoft,India,"Bring data to life using rich visualizations.,Analyze petabytes of data and mine patterns from logs.,Develop highly scalable classifiers, data regression,…",2022-07-26,Not Disclosed,[],
data science,Gex Search,"Hyderabad, Telangana","Create data tools for analytics and data scientist team members that assist them in building and.,Build the infrastructure required for optimal extraction,…",2022-07-26,"₹20,00,000 - ₹22,00,000 a year",[],2100000.0
data science/data analytics,Excellence and Eminence LLP,"Bengaluru, Karnataka","Hands-on experience with data science tools.,Data mining or extracting usable data from valuable data sources.,This is an immediate requirement.",2022-07-26,"₹18,00,000 - ₹25,00,000 a year",[],2150000.0
data science & analytics,Samsung Electronics,"Bengaluru, Karnataka","Calculating and reporting optimized metric result for data.,[Root cause analysis] Finding root cause analytically or intuitively why algorithms did not perform…",2022-07-26,Not Disclosed,[],
software engineering internship opportunity for university g...,Microsoft,India,"Ability to demonstrate an understanding of computer science fundamentals, including data structures and algorithms.,O Providing and soliciting design feedback.",2022-07-26,Not Disclosed,[],
data science,Globussoft Technologies,"Bengaluru, Karnataka","Develop custom data models and algorithms to apply to data sets.,Extending company’s data with third party sources of information when needed.",2022-07-26,"₹3,60,000 a year",[],360000.0
data science consultant / senior consultant,Thanks Buddy,"Bengaluru, Karnataka","Proficiency in data science approaches, machine learning algorithms and statistical methods.,Experience in designing data science solution approaches to…",2022-07-26,"₹10,00,000 - ₹20,00,000 a year",['machine learning'],1500000.0
data scientist: artificial intelligence,IBM,"Gurgaon, Haryana+1 location","As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and…",2022-07-26,Not Disclosed,[],
analyst - data science,Amex,"Gurgaon, Haryana","Services business and is responsible for developing data science solutions for marketing use cases through best-in-class.,Track and diagnose market changes.",2022-07-26,Not Disclosed,[],
"software engineering intern, winter 2023",Google,"Bengaluru, Karnataka","Apply knowledge gained in computer science courses to real-world problems.,You will research, conceive and develop software applications to extend and improve…",2022-07-26,Not Disclosed,[],
data science - intern,Paytm,"Noida, Uttar Pradesh","Flexible to work on Large raw data.,Analyse data and share all findings for business growth.,Business context alignment, data-wrangling, innovative feature…",2022-07-26,Not Disclosed,[],
data science consultant,ITC Infotech India Ltd,"Bengaluru, Karnataka","3 to 7 Years of experience associated with respective technical expertise areas - NLP/NLU, Unstructured Data Mining.",2022-07-26,Not Disclosed,['nlp'],
content strategist - data science,Testbook,"Navi Mumbai, Maharashtra","Plan and develop content for assigned vertical/program.,Audit and bring required changes in the content being delivered to ensure learning outcomes are meet.",2022-07-26,Not Disclosed,[],
cyber intelligence specialist (junior),FENG GROUP,"Patna, Bihar+1 location","Basic understanding of utilizing threat intelligence to mitigate any potential data threats and defend data;,Must be able to communicate with executives, CTOs …",2022-07-26,Not Disclosed,[],
data analyst,Foxx Life Sciences Pvt Ltd,Remote,"Techniques in data design and data management.,Provide data to users by extracting that data from the ERP system.,Other projects and duties as assigned.",2022-07-26,Not Disclosed,[],
data science analytics,Aavas Financiers Limited,"Jaipur, Rajasthan","Experienced in data management, data analysis, data extraction.,Inferring from changing data trends and further providing insights/business solution…",2022-07-26,"₹6,00,000 a year",['data analysis'],600000.0
data science,Ticker Job,"Bengaluru, Karnataka","Data science: 4 years (Required).,Envisioning, planning, and executing Machine Learning/Deep Learning projects.,Experience with SQL and NoSQL databases.",2022-07-26,"₹8,00,000 a year","['sql', 'machine learning', 'deep learning']",800000.0
data science - consultant,ALIQAN Technologies,"Bengaluru, Karnataka","Big data hadoop: 1 year (Required).,Immediate to 20 days joining duration*.,Experience: * 4-7 years of experience in a computer vision role.",2022-07-26,"₹12,00,000 - ₹20,00,000 a year","['big data', 'hadoop']",1600000.0
data engineer,Ultrafly Solutions Private Limited,"Bengaluru, Karnataka","Data pipeline builder and data wrangler who enjoys optimizing data systems.,Software developers, data analysts and data scientists on data initiatives and.",2022-07-26,"₹5,73,618 - ₹19,15,305 a year",[],1244461.5
analyst,IQVIA,"Bengaluru, Karnataka+1 location","Provides high quality, on-time input to client projects in the life sciences field.,Proactively develops a basic knowledge of consulting methodologies and the…",2022-07-26,Not Disclosed,[],
usi consulting - s&a - hs&i - converge consumer - data scien...,Deloitte,"Bengaluru, Karnataka","Experience using statistical computer languages to prepare data for analysis, visualize data as part of exploratory analysis, generate features, and other…",2022-07-26,Not Disclosed,[],
associate ii - data analysis,UST Global,"Thiruvananthapuram, Kerala","Acquiring data from various sources.,Consider only relevant data from the mined data and convert it into a format which is consistent and analysable.",2022-07-26,Not Disclosed,[],
"faculty - python, data science, full stack",TGC Animation and Multimedia,"Pitampura, Delhi","Pythontrainin.Net powered by TGC, a leading software Training institute based in Pitampura in north-west Delhi, urgently needs experienced trainer to teach…",2022-07-26,"₹25,000 - ₹40,000 a month",[],390000.0
data science intern,Emerging India Analytics,"Noida, Uttar Pradesh","Job Description for Data Science Intern (EdTech): *.,*The candidate must have knowledge on different Data Science Tools. *.,*There is no Work from Home*.",2022-07-26,"₹5,000 - ₹7,000 a month",[],72000.0
data science intern,Hashwide Pvt Ltd,"Ernakulam, Kerala","Project to involve advanced data analytics and emerging technologies, working with data science and business experts.",2022-07-26,Not Disclosed,[],
data scientist - team ai science,CropIn Technology Solutions,"Bengaluru, Karnataka","Our R&I (Research and Innovation) has scientists from the Ag, weather, Geo-spatial, data to computer sciences, all collaborating together to bring meaningful…",2022-07-26,Not Disclosed,['r'],
qa engineer - hitachi astemo gurugram powertrain systems,"Hitachi India Pvt, Ltd.","Noida, Uttar Pradesh","Company: Hitachi Astemo Gurugram Powertrain Systems.,Salary Range: 360000 - 480000 PA.,Hitachi Astemo Gurugram Powertrain Systems creates clean engine…",2022-07-26,"₹3,60,000 - ₹4,80,000 a year",[],420000.0
data science trainer,FirstBit Solutions,"Pune, Maharashtra","We are looking for passionate and highly skilled Data Science Trainers to be part of our team.,Expected to have thorough knowledge of subject matter.",2022-07-26,"₹5,00,000 - ₹8,00,000 a year",[],650000.0
data science platform support analyst,Barclays,"Pune, Maharashtra","Use insights based on data to inform decisions.,Job Title: Data Science Platform Support Analyst.,Barclays is a British universal bank.,What will you be doing?",2022-07-26,Not Disclosed,[],
data science engineer,Tuebora,"Bengaluru, Karnataka","Data analysis on a variety of production data.,Data curation, data transformation and regression, clustering using Python.",2022-07-26,Not Disclosed,"['python', 'data analysis']",
data analyst 2-8,PayPal,"Bengaluru, Karnataka+1 location","Leveraging data analysis tools and technologies.,Ensuring the team is delivering on our KPIs by using various data mining and data visualization tools to…",2022-07-26,Not Disclosed,"['data visualization', 'data analysis']",
data science – sr. associate,ALIQAN Technologies,"Bengaluru, Karnataka","Job Title: Data Science* - *Sr.,Location: Bangalore (Work From Home)*.,Experience: * 18 months to 4 years of experience in a computer vision role.",2022-07-26,"₹9,00,000 - ₹15,00,000 a year",[],1200000.0
data science internship,Trukky Logistics,"Gurgaon, Haryana","Drop us an email at careers@trukky.com.,We’ll be happy to hear from you.,Alternatively, choose from our list of challenges.",2022-07-26,Not Disclosed,[],
analyst - tech consulting - national - data & analytics - ba...,EY,"Bengaluru, Karnataka+2 locations","EY is looking for Analyst in IT Advisory.,An important part of your role will be to assist Seniors & Managers while actively participating within the client…",2022-07-26,Not Disclosed,[],
data science trainer,Hellowork Technologies Pvt Ltd,"Bengaluru, Karnataka","Skills Good Knowledge in Python, DataScience, Statistics, Artificial Intelligence & Machine learning Training Candidates on data science, AI & ML Core concepts…",2022-07-26,"₹2,50,000 - ₹4,50,000 a year","['python', 'machine learning', 'statistics']",350000.0
data science senior analyst,Accenture,India,"Manage, architect, and analyze big data to build data driven business insights and high impact data models to generate significant business value.",2022-07-26,Not Disclosed,['big data'],
data and analytics - crl 2.0 data science,EY,"Bengaluru, Karnataka","Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.",2022-07-26,Not Disclosed,[],
data engineer (junior),FENG GROUP,+1 locationRemote,"You will use various methods to transform raw data into useful data systems.,Work with Data Scientists/BI teams to assist with data-related technical issues and…",2022-07-26,Not Disclosed,[],
data science engineer,AMSYS Innovative Solution,Remote,"We are looking for a Data science engineer to help with basic foundational data structures.,Analyze and organize raw data.,Build data systems and pipelines.",2022-07-26,Not Disclosed,[],
data analyst intern,GUVI GEEK NETWORK PRIVATE LIMITED,"Temporarily Chennai, Tamil Nadu"," Reorganizing data in a readable format., A bachelor degree in computer science., Supporting initiatives for data integrity and normalization.",2022-07-26,"₹10,000 - ₹15,000 a month",[],150000.0
software engineering full time opportunity for university gr...,Microsoft,India,"Ability to demonstrate an understanding of computer science fundamentals, including data structures and algorithms.,Learn more about our cultural attributes.",2022-07-26,Not Disclosed,[],
machine learning data engineer,BlueOptima,"Bengaluru, Karnataka","Strong statistical analytics skills demonstrated through data engineering or similar experience.,We cater to all products within BlueOptima, supercharging their…",2022-07-26,Not Disclosed,[],
data analyst,Patra Corp,"Temporarily Visakhapatnam, Andhra Pradesh","Research opportunities for data acquisition and new uses for existing data.,Recommend ways to improve data reliability, efficiency and quality (e.g. data…",2022-07-26,Not Disclosed,[],
data science trainer,Nettech India,"Thane, Maharashtra","POSITION TITLE*- DATA SCIENCE TRAINER.,KEY RESPONSIBILITIES-*Perform following jobs.,Teach PYTHON programming , machine learning and AI.",2022-07-26,"₹20,000 - ₹45,000 a month","['python', 'machine learning']",390000.0
data scientist,Mindtree,"Bengaluru, Karnataka+1 location","# Experience with common data science toolkits such as R, Numpy, Pandas, Sklearn, Matplotlib, tensorflow SPECIALIZATION As we increasingly harness the power of…",2022-07-26,Not Disclosed,"['pandas', 'numpy', 'tensorflow', 'r', 'matplotlib']",
data scientist,Pinimbus Software Ltd,"Hyderabad, Telangana","Familiarity with Data Engineering techniques to gather, prepare, cleanse and transform data for analysis and AI automation, including data pipelines. *.",2022-07-26,"₹20,00,000 - ₹40,00,000 a year",[],3000000.0
data architect,Miracle Software Systems,India,"Bachelor's degree in mathematics, statistics, computer science or related field.,India-Miracle City Exp 5 - 7 Years.",2022-07-26,Not Disclosed,['statistics'],
data science - python developer,Cyient,"Pune, Maharashtra","Machine Learning skills: Skills to develop computer programs that can access data and use it learn for themselves.,Microsoft Excel: advanced Excel skills.",2022-07-26,Not Disclosed,"['excel', 'machine learning']",
junior data scientist,Conxai Technologies GmbH,"Bengaluru, Karnataka","BCA / BSc. / BTech or higher with experience in data annotation and data science.,A substantial part of your work will involve annotating data.",2022-07-26,Not Disclosed,[],
data scientist,Barclays,"Delhi, Delhi","Keeps abreast of the latest developments in data science and shares that knowledge with colleagues across the bank, to reinforce DNA’s status as a centre of…",2022-07-26,Not Disclosed,[],
data science trainer,Learn Digital Academy,"Marathahalli, Bengaluru, Karnataka","Training Candidates on data science, AI & ML.,We are looking for an experienced & creative Data Science Trainer with strong creative skills and a portfolio of…",2022-07-26,"₹5,09,513 - ₹7,83,446 a year",[],646479.5
data scientist,Mindtree,"Bengaluru, Karnataka+1 location","# Processing, cleansing, and verifying the integrity of data used for analysis.,# Conduct ad-hoc analysis, present results in a clear manner and deploy models…",2022-07-26,Not Disclosed,[],
data architect,Miracle Software Systems,India,"Bachelor's degree in mathematics, statistics, computer science or related field.,Strong math and analytical skills are essential to complete job requirements…",2022-07-26,Not Disclosed,['statistics'],
data science - python developer,Cyient,"Pune, Maharashtra","Machine Learning skills: Skills to develop computer programs that can access data and use it learn for themselves.,Microsoft Excel: advanced Excel skills.",2022-07-26,Not Disclosed,"['excel', 'machine learning']",
junior data scientist,Conxai Technologies GmbH,"Bengaluru, Karnataka","BCA / BSc. / BTech or higher with experience in data annotation and data science.,A substantial part of your work will involve annotating data.",2022-07-26,Not Disclosed,[],
data science trainer,Learn Digital Academy,"Marathahalli, Bengaluru, Karnataka","Training Candidates on data science, AI & ML.,To deliver course material through lectures/sessions as per the pre-decided curriculum.,3- 5 years of experience.",2022-07-26,"₹5,09,513 - ₹7,83,446 a year",[],646479.5
data scientist,Barclays,"Delhi, Delhi","Keeps abreast of the latest developments in data science and shares that knowledge with colleagues across the bank, to reinforce DNA’s status as a centre of…",2022-07-26,Not Disclosed,[],
"sales engineer(analytics, data science, or bi)",Crux Intelligence,"Bengaluru, Karnataka+1 location","Previous experience in implementation or technical consultant role in analytics, data science, or business intelligence; SaaS enterprise software experience…",2022-07-26,"₹18,00,000 a year",[],1800000.0
data science specialist,Skill-Lync,"Bengaluru, Karnataka","He will use advanced data modelling, predictive modelling, and analytical techniques to interpret key findings from company provided data and leverage these…",2022-07-26,Not Disclosed,[],
data science trainer,Uncodemy,"Noida, Uttar Pradesh","We are looking for Data Science Trainer with at least 1+ year of Training experience.,Taking Data Science batches in Online and Offline mode.",2022-07-26,"₹30,000 - ₹60,000 a month",[],540000.0
data science intern,Honeybee Digital,"Gandhinagar, Gujarat","Proficiency in Python and various data-handling and visualization libraries like NumPy Pandas.,Help Lead Data Scientists with Research and Consulting Projects.",2022-07-26,Not Disclosed,"['python', 'pandas', 'numpy']",
data analyst,Quotient Technology,"Bengaluru, Karnataka","Identify and assess key opportunity areas where data and science can enhance products.,3 to 6 years’ experience in applying data and science to improve products…",2022-07-26,Not Disclosed,[],
data analytics developer,Standard Chartered,"Bengaluru, Karnataka","Supporting initiatives for data integrity and normalization.,Educational background in statistics, computer science.,Methodical and logical approach to work.",2022-07-26,Not Disclosed,['statistics'],
data analyst,Benchmark Digital Partners,"Bengaluru, Karnataka","Able to understand various data structures and common methods in data transformation.,Must be able to clearly understand and articulate a data science problem…",2022-07-26,Not Disclosed,[],
data scientist,Testbook,"Navi Mumbai, Maharashtra","Evidence of solving and deploying solutions for data science problems in industry.,Good understanding of data structures, algorithms, coding, python libraries,…",2022-07-26,Not Disclosed,['python'],
"specialist, data science",Standard Chartered,"Bengaluru, Karnataka","Develop data driven insights in Cash data.,Perform data analytics tasks as requested by Business.,Work closely with product owners to mine relevant data.",2022-07-26,Not Disclosed,[],
data science engineer,Johnson Electric,"Chennai, Tamil Nadu","Expert in Python, with experience using Jupyter, Numpy, Matplotlib, Scikit-learn and other basic data science tools and libraries in python.",2022-07-26,Not Disclosed,"['python', 'numpy', 'scikit-learn', 'matplotlib']",
data scientist,C2FO ITPL,"Noida, Uttar Pradesh","The D&DS team is responsible for C2FO’s end-to-end data solutions, focusing on data architectures, data science and machine learning, business intelligence and…",2022-07-26,Not Disclosed,['machine learning'],
data engineer: data warehouse,IBM,"Pune, Maharashtra+3 locations","Perform data profiling and analysis using a variety of tools.,Experience in Data Migration from RDBMS to Snowflake cloud data warehouse.",2022-07-26,Not Disclosed,[],
data scientist,Orange Business Services,India,"Expert in data science, ML/AI subjects.,Knowledge of using statistical languages (Python, Scala, SQL, etc.) to manipulate data and draw insights from large data…",2022-07-26,Not Disclosed,"['python', 'sql']",
digital analyst - liveops data science - quantumblack labs,McKinsey & Company,"Gurgaon, Haryana","You will apply data science expertise to assure sustainable impact of ML solutions developed.,Graduate or postgraduate degree in computer science, engineering,…",2022-07-26,Not Disclosed,[],
data scientist,Marktine Technology Solutions,"Bengaluru, Karnataka","The candidate should understand data science methods, and visualization techniques to leverage internal and external data to identify and develop ways to…",2022-07-26,"₹5,19,073 - ₹10,00,000 a year",[],759536.5
"transformation lead, healthcare and data science",Bosch Group,"Bengaluru, Karnataka",Data science horizontal offers solutions and services to improve client businesses by deploying data science capabilities at scale.,2022-07-26,Not Disclosed,[],
data engineer: data integration,IBM,"Hyderabad, Telangana+6 locations","Demonstrated ability in solutioning covering data ingestion, data cleansing, ETL, data mart creation and exposing data for consumers.",2022-07-26,Not Disclosed,['etl'],
data scientist,Serendipity corporate services,"Bengaluru, Karnataka+1 location","Primary skills : - Data science ( ML ), NLP ,computer vision and SQL.,Ability to read and implement research papers and propose solutions and strategies to…",2022-07-26,"₹10,00,000 - ₹25,00,000 a year","['sql', 'nlp']",1750000.0
data scientist,MARJ TECHNOLOGIES,"Noida, Uttar Pradesh","Experience with data bases, query languages, and associated data architecture.,Develop and implement artificial intelligence and machine learning models to…",2022-07-26,"₹4,03,237 - ₹8,50,000 a year",['machine learning'],626618.5
ta- data science- freelancer,Testbook,"Navi Mumbai, Maharashtra","Assist students to gain a clear understanding of the topics.,Proactively clear students’ doubts, guide & motivate them.",2022-07-26,Not Disclosed,[],
senior analyst-data science,Accenture,"Bengaluru, Karnataka+1 location","In the Data Science team, you will manage and analyze data in order to build data driven business insights and high impact data models to generate significant…",2022-07-26,Not Disclosed,[],
data science developer,Intellecto Global Services,"Chennai, Tamil Nadu","The candidate has to work *2hrs *daily.,Minimum 5 years of experience in Data Science development.,Should have experience in developing End to End solutions.",2022-07-26,"₹25,000 - ₹28,000 a month",[],318000.0
google analyst,GunjanApps Studios & Solutions LLP,"Unknown, Kolkata, West Bengal","Developing and maintaining databases, data systems – reorganizing data in a readable format.,Knowledge of data visualization software like Tableau, Qlik.",2022-07-26,"₹20,000 - ₹40,000 a month","['tableau', 'data visualization']",360000.0
data engineer |,MasterCard,"Hybrid remote in Gurgaon, Haryana+1 location","Act as an expert data resource within the team.,The Delivery Engineering Platform team is a core component to consulting services, managing the data acquisition…",2022-07-26,Not Disclosed,[],
"product analyst, data science, engineering",Google,"Bengaluru, Karnataka","You will weave stories with meaningful insight from data.,You will work to effectively turn business questions into data analysis, and provide meaningful…",2022-07-26,Not Disclosed,['data analysis'],
data science,ZunRoof Tech,"Gurgaon, Haryana","To breakdown complex problems and recommend data science products.,Assess the effectiveness and accuracy of new data sources and data gathering techniques.",2022-07-26,Not Disclosed,[],
research science analyst _global banking pool_gurugram,McKinsey & Company,"Gurgaon, Haryana","Outstanding attention to detail and dedication to data accuracy.,Our GBP team specifically focuses on product-level market-sizing across full spectrum of…",2022-07-26,Not Disclosed,[],
junior data scientist,Hyringninja,"Mumbai, Maharashtra","Good mathematical background and knowledge of data science, deep learning, machine learning and artificial intelligence would be an added advantage.",2022-07-26,"₹10,00,000 - ₹12,00,000 a year","['machine learning', 'deep learning']",1100000.0
consultant data science & analytics,TransUnion,"Mumbai, Maharashtra","Lead new HPC environment setup on behalf of data science teams.,The role will partner with internal and external cross-functional teams to drive the setup and…",2022-07-26,Not Disclosed,[],
cyber intelligence specialist (senior),FENG GROUP,"Patna, Bihar","Maintain awareness of the global threat landscape and review complex, technical threat data, enrich it with contextual information, and produce finished…",2022-07-26,Not Disclosed,[],
"analyst, data unification & analytics, cyber & intelligence...",MasterCard,"Hybrid remote in Gurgaon, Haryana","Experience in hands-on data modeling, programming, querying, data mining and report development using large volumes of granular data to deliver business…",2022-07-26,Not Disclosed,[],
cloud data science lead,Virtusa,"Bengaluru, Karnataka","Sound knowledge and exposure to exploratory text data analysis.,Experience and knowledge in data pipeline design and implementation.",2022-07-26,Not Disclosed,['data analysis'],
data scientist,MasterCard,"Hybrid remote in Gurgaon, Haryana+1 location","Experience in data management, data mining, data analytics, data reporting, data product development and quantitative analysis.",2022-07-26,Not Disclosed,[],
senior member technical staff - oci data science,Oracle,"Bengaluru, Karnataka","At every level, our engineers have a significant technical and business impact designing and building innovative new systems to power our customer’s business…",2022-07-26,Not Disclosed,[],
data engineering architect,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","As a Senior Technical Lead, you will be responsible to analyze battery performance time series data (big data) of electric vehicles by developing high…",2022-07-26,Not Disclosed,['big data'],
data integrity - analyst,Deloitte,"Hyderabad, Telangana","Provides end-to-end support around database management, data visualization, data science, data reporting and technology development.,1 to 3 years of experience.",2022-07-26,Not Disclosed,['data visualization'],
consultant - data science,Bristlecone,"Pune, Maharashtra+1 location","Strong analytical techniques, data mining knowledge, and proficiency in handling and processing large amounts of data is needed.",2022-07-26,Not Disclosed,[],
data scientist,Accubits Technologies,India,"Develop custom data models and algorithms to apply to data sets.,Assess the effectiveness and accuracy of new data sources and data gathering techniques.",2022-07-26,Not Disclosed,[],
data analyst (statistician),BuzzBoard,Remote,"Acquire data from primary or secondary data sources and maintain databases/data systems.,Technical expertise regarding data models, data base design development…",2022-07-26,Not Disclosed,[],
data scientist,iMentus Technologies,"Indore, Madhya Pradesh","Hands-on experience with data science tools.,Data mining or extracting usable data from valuable data sources.,Collaborate with Business and IT teams.",2022-07-26,"₹10,000 - ₹30,000 a month",[],240000.0
jr. software engineer,Shiksha,"Patna, Bihar","Communicating key project data to team members and building cohesion among teams.,A bachelor's degree in computer science, software engineering, or another…",2022-07-26,"₹12,000 - ₹20,000 a month",[],192000.0
data science freelance trainer,Coachx.live,"Pune, Maharashtra","We are looking out for people with excellent technical knowledge and good communication skills to conduct training programs, who can design and deliver the…",2022-07-26,Not Disclosed,[],
data science,OakNorth Bank,"Bengaluru, Karnataka",This will help us to analyze large financial/market/high-frequency data sets and provide business performance conclusions for companies across multiple sectors…,2022-07-26,Not Disclosed,[],
data science application developer,Accenture,"Hyderabad, Telangana",Professional Attributes : Able to understand various data structures and common methods in data transformation Excellent pattern recognition and predictive…,2022-07-26,Not Disclosed,[],
data engineer,Dataminerz Innovative Solutions,"Delhi, Delhi","Experience in a data engineering role developing Python and Spark data.,Top-decile data engineering skills; strength in SQL and Python for data transformations.",2022-07-26,"₹8,13,748 - ₹10,84,637 a year","['python', 'sql', 'spark']",949192.5
data engineer,HRhelpdesk,"Noida, Uttar Pradesh",Design and implement data pipelines for acquiring and transforming raw plant floor data into actionable information.,2022-07-26,"₹5,00,000 - ₹10,00,000 a year",[],750000.0
reporting and analytics data science practitioner,Accenture,"Bengaluru, Karnataka","Key Responsibilities : - Interpret data, analyze results using statistical techniques and provide ongoing reports - Undertake pre-processing of structured and…",2022-07-26,Not Disclosed,[],
quality engineer- manual,Swific Technology Pvt. Ltd.,"Bengaluru, Karnataka","Lio helps its users organize their data efficiently on their mobile phones.,The problem the company is addressing is the lack of high quality data creation &…",2022-07-26,Not Disclosed,[],
data engineer: big data,IBM,"Hyderabad, Telangana+6 locations","Implement scalable solutions to meet the ever-increasing data volumes, using big data/cloud technologies Pyspark, Kafka, any Cloud computing etc.",2022-07-26,Not Disclosed,['big data'],
